servicename,count,mean,sd,min,q90,q95,max
RS_OW_AgencyDataSupplierService,2,4.5,0.7071067811865476,4.0,4.9,4.95,5.0
WS_1R_DetailAbonne,1,261.0,NaN,261.0,261.0,261.0,261.0
