time;servicename;duration
08:00:05;RS_OW_AgencyDataSupplierService;4
08:00:05;RS_OW_AgencyDataSupplierService;3
08:00:05;RS_OW_AgencyDataSupplierService;4
08:00:05;RS_OW_AgencyDataSupplierService;5
08:00:05;RS_OW_AgencyDataSupplierService;6
08:00:05;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;3
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;3
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;6
08:00:06;RS_OW_AgencyDataSupplierService;6
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;6
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;7
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;3
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;4
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:06;RS_OW_AgencyDataSupplierService;3
08:00:06;RS_OW_AgencyDataSupplierService;5
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;5
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;5
08:00:07;RS_OW_AgencyDataSupplierService;5
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;6
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;3
08:00:07;RS_OW_AgencyDataSupplierService;5
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:07;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;6
08:00:08;RS_OW_AgencyDataSupplierService;5
